Customer ID,Customer Name,Age,Gender,Country,Region
CUST9791,Leroy Johns,36,Male,Germany,Europe
CUST1607,Ashley Harrison,26,Male,China,Asia
CUST4707,David Jackson,63,Other,Germany,Europe
CUST1900,Nicholas Young,43,Other,China,Asia
CUST3598,Kerry Wilson,33,Other,Brazil,South America
CUST3283,Cindy Bates,29,Male,UK,Europe
CUST7146,Hannah Carter,23,Female,USA,North America
CUST2671,Matthew Taylor,25,Other,Canada,North America
CUST6785,Tina Morrison,52,Female,Germany,Europe
CUST9511,Alison Hopkins,67,Other,Canada,North America
CUST6739,Rachael Boyd,30,Female,USA,North America
CUST9497,Joseph Fields,62,Male,UK,Europe
CUST2529,Mr. Benjamin Hernandez,63,Male,Brazil,South America
CUST7885,Scott Gilbert,49,Male,Brazil,South America
CUST6511,Wesley Rodriguez,59,Male,USA,North America
CUST4298,Tony Leon,47,Other,Canada,North America
CUST7929,Matthew Fischer,48,Female,UK,Europe
CUST9510,Craig Martinez,23,Female,USA,North America
CUST6987,Johnny Lee,62,Male,China,Asia
CUST3303,Jason Rodriguez,39,Other,Brazil,South America
CUST2103,Joseph Spears,27,Other,Australia,Oceania
CUST6482,Dennis Wade,55,Other,China,Asia
CUST9991,Zachary Cardenas,66,Male,USA,North America
CUST2681,Courtney Reeves,30,Female,India,Asia
CUST9195,Maria Garcia,51,Other,Australia,Oceania
CUST6307,Melissa Fisher,34,Other,Brazil,South America
CUST4651,Patrick Montgomery,58,Male,Brazil,South America
CUST9962,Morgan Larson,18,Female,Australia,Oceania
CUST1579,Lawrence Morris,22,Other,Germany,Europe
CUST2225,Ashley Dunn,49,Other,China,Asia
CUST7955,Nicole Haley,67,Other,Australia,Oceania
CUST3210,Savannah Hernandez,63,Other,Brazil,South America
CUST4658,Amy Morton,22,Male,Germany,Europe
CUST6590,Jason Lopez,39,Male,USA,North America
CUST6020,James Hoover,37,Female,Brazil,South America
CUST6512,Tracy Murphy,70,Female,India,Asia
CUST2181,Amanda Burgess,57,Female,Canada,North America
CUST9219,Maria Jennings,40,Female,China,Asia
CUST4496,Henry Valdez,66,Female,UK,Europe
CUST4674,Brooke Banks,53,Female,India,Asia
